,name,album,release_date,release_year,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
234,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,9,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,58,209293
278,Lover,Lover,8/23/2019,2019,3,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,0.453,90,221306
292,It’s Nice To Have A Friend,Lover,8/23/2019,2019,17,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,69,150440
341,Breathe,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,33,0.416,0.442,0.48,0,0.129,-7.405,0.0281,73.849,0.167,34,264946
142,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,2021,22,0.214,0.473,0.579,0,0.0877,-5.824,0.0384,73.942,0.255,70,297013
500,Breathe,Fearless,11/11/2008,2008,7,0.379,0.505,0.482,0,0.113,-7.372,0.0276,73.975,0.184,43,263973
524,Mary's Song (Oh My My My),Taylor Swift,10/24/2006,2006,10,0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,58,213080
181,tolerate it,evermore (deluxe version),1/7/2021,2021,5,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,70,245440
198,tolerate it,evermore,12/11/2020,2020,5,0.878,0.316,0.361,2.67E-05,0.0797,-10.381,0.0488,74.952,0.221,77,245440
300,So It Goes...,reputation,11/10/2017,2017,7,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,73,227906
321,So It Goes...,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,13,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,56,227906
263,exile (feat. Bon Iver),folklore,7/24/2020,2020,4,0.778,0.298,0.38,5.62E-05,0.11,-8.426,0.0287,75.602,0.152,80,285634
212,exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,4,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,52,285640
246,exile (feat. Bon Iver),folklore (deluxe version),8/18/2020,2020,4,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,71,285640
515,Tim McGraw,Taylor Swift,10/24/2006,2006,1,0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,65,232106
390,I Knew You Were Trouble.,Red (Deluxe Edition),10/22/2012,2012,4,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,50,217973
412,I Knew You Were Trouble.,Red,10/22/2012,2012,4,0.00454,0.622,0.469,2.25E-06,0.0398,-6.798,0.0363,77.019,0.679,60,217973
317,I Knew You Were Trouble.,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,9,0.00476,0.536,0.464,2.67E-06,0.0357,-6.761,0.0412,77.318,0.665,39,219720
429,Ours - Live/2011,Speak Now World Tour Live,10/25/2010,2010,5,0.715,0.421,0.355,0,0.867,-10.21,0.0298,77.769,0.267,44,245973
38,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),10/26/2023,2023,17,0.345,0.629,0.413,7.62E-05,0.0603,-13.178,0.055,77.983,0.306,84,180381
60,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,2023,18,0.159,0.474,0.763,0,0.138,-4.632,0.0505,78.133,0.231,70,252385
371,I Know Places - Voice Memo,1989 (Deluxe Edition),10/27/2014,2014,17,0.829,0.592,0.128,0,0.527,-17.932,0.589,78.828,0.15,33,216333
136,Begin Again (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,16,0.075,0.519,0.527,0,0.132,-7.673,0.0274,78.915,0.267,69,238866
182,"no body, no crime (feat. HAIM)",evermore (deluxe version),1/7/2021,2021,6,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,68,215626
199,"no body, no crime (feat. HAIM)",evermore,12/11/2020,2020,6,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,69,215626
344,Begin Again,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,36,0.199,0.53,0.526,3.52E-06,0.14,-8.349,0.0263,79.025,0.323,30,239426
402,Begin Again,Red (Deluxe Edition),10/22/2012,2012,16,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,0.323,41,237613
424,Begin Again,Red,10/22/2012,2012,16,0.199,0.53,0.526,3.52E-06,0.232,-8.349,0.0263,79.025,0.323,54,237613
55,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,13,0.447,0.55,0.366,4.43E-06,0.101,-8.46,0.0276,79.401,0.16,72,369120
433,Last Kiss - Live/2011,Speak Now World Tour Live,10/25/2010,2010,9,0.205,0.427,0.395,8.73E-06,0.701,-12.551,0.0291,79.517,0.188,44,369066
115,Vigilante Shit,Midnights,10/21/2022,2022,8,0.173,0.798,0.277,5.25E-05,0.121,-11.096,0.39,79.846,0.163,77,164801
138,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,18,0.0158,0.46,0.632,0,0.0822,-6.031,0.0302,79.846,0.399,70,223333
134,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),11/12/2021,2021,14,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,0.474,73,245426
336,Come Back...Be Here,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,28,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,0.217,31,223920
404,Come Back...Be Here,Red (Deluxe Edition),10/22/2012,2012,18,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,0.217,42,222706
72,Vigilante Shit,Midnights (The Til Dawn Edition),5/26/2023,2023,8,0.157,0.867,0.272,3.42E-05,0.118,-11.014,0.363,79.962,0.157,66,164801
288,False God,Lover,8/23/2019,2019,13,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,76,200306
475,Jump Then Fall,Fearless Platinum Edition,11/11/2008,2008,1,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,42,237066
95,Vigilante Shit,Midnights (3am Edition),10/22/2022,2022,8,0.16,0.87,0.279,1.74E-05,0.121,-11.134,0.364,79.996,0.16,65,164801
343,Jump Then Fall,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,35,0.113,0.617,0.699,0,0.074,-5.712,0.0274,80.007,0.818,29,238093
400,Everything Has Changed,Red (Deluxe Edition),10/22/2012,2012,14,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,44,243933
422,Everything Has Changed,Red,10/22/2012,2012,14,0.36,0.624,0.458,3.89E-06,0.303,-6.755,0.0287,80.017,0.436,49,243933
176,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4/9/2021,2021,26,0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,0.527,65,242157
459,Haunted - Acoustic Version,Speak Now (Deluxe Edition),10/25/2010,2010,19,0.842,0.563,0.443,0,0.293,-5.078,0.0247,80.962,0.313,46,217613
177,willow,evermore (deluxe version),1/7/2021,2021,1,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,70,214706
194,willow,evermore,12/11/2020,2020,1,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,81,214706
51,Enchanted (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,9,0.012,0.505,0.532,0,0.149,-3.526,0.0265,81.907,0.216,83,353253
332,Enchanted,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,24,0.0717,0.535,0.626,0.00127,0.158,-3.895,0.0274,81.963,0.218,43,353253
79,Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),5/26/2023,2023,15,0.837,0.48,0.22,0.00269,0.116,-12.469,0.0425,82.951,0.0633,64,218502
296,I Did Something Bad,reputation,11/10/2017,2017,3,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,0.305,79,238253
270,invisible string,folklore,7/24/2020,2020,11,0.838,0.653,0.452,7.73E-05,0.108,-11.143,0.055,83.433,0.45,76,252880
236,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,11,0.942,0.59,0.282,4.85E-06,0.11,-10.542,0.0281,83.438,0.351,55,257359
219,invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,11,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,50,252880
253,invisible string,folklore (deluxe version),8/18/2020,2020,11,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,69,252880
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,15,0.61,0.363,0.498,3.91E-06,0.112,-9.473,0.0755,84.68,0.477,65,267389
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,15,0.609,0.537,0.495,2.49E-06,0.112,-9.416,0.0573,84.948,0.492,73,267389
289,You Need To Calm Down,Lover,8/23/2019,2019,14,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,0.714,83,171360
479,SuperStar,Fearless Platinum Edition,11/11/2008,2008,5,0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,0.228,39,261453
394,We Are Never Ever Getting Back Together,Red (Deluxe Edition),10/22/2012,2012,8,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,0.75,48,191880
416,We Are Never Ever Getting Back Together,Red,10/22/2012,2012,8,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,0.75,57,191880
227,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,2,0.88,0.395,0.234,0,0.107,-9.704,0.0382,86.478,0.247,58,230680
104,High Infidelity,Midnights (3am Edition),10/22/2022,2022,17,0.723,0.646,0.529,0,0.0885,-10.179,0.0864,87.862,0.755,68,231475
186,ivy,evermore (deluxe version),1/7/2021,2021,10,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,0.535,67,260440
203,ivy,evermore,12/11/2020,2020,10,0.855,0.515,0.545,1.97E-05,0.0921,-9.277,0.0353,88.856,0.535,70,260440
525,Our Song,Taylor Swift,10/24/2006,2006,11,0.111,0.668,0.672,0,0.329,-4.931,0.0303,89.011,0.539,72,201106
453,Last Kiss,Speak Now (Deluxe Edition),10/25/2010,2010,13,0.57,0.371,0.341,3.09E-05,0.101,-9.475,0.0319,89.038,0.196,46,367133
473,Last Kiss,Speak Now,10/25/2010,2010,13,0.57,0.371,0.341,3.09E-05,0.101,-9.475,0.0319,89.038,0.196,50,367133
216,august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,8,0.553,0.387,0.634,6.93E-05,0.0931,-9.222,0.0363,89.567,0.42,52,261920
250,august,folklore (deluxe version),8/18/2020,2020,8,0.553,0.387,0.634,6.93E-05,0.0931,-9.222,0.0363,89.567,0.42,70,261920
242,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,17,0.794,0.606,0.221,0,0.0888,-11.767,0.0468,89.844,0.112,57,199733
267,august,folklore,7/24/2020,2020,8,0.538,0.532,0.623,7.28E-05,0.0925,-9.208,0.0331,89.937,0.403,87,261922
87,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),5/26/2023,2023,23,0.0623,0.615,0.616,0,0.579,-6.523,0.0622,89.977,0.0734,69,201493
233,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,8,0.5,0.554,0.663,4.77E-05,0.791,-8.961,0.0324,89.977,0.545,57,260000
118,Karma,Midnights,10/21/2022,2022,11,0.0734,0.642,0.62,0,0.483,-7.091,0.0666,90.02,0.0969,85,204852
98,Karma,Midnights (3am Edition),10/22/2022,2022,11,0.074,0.649,0.622,0,0.594,-7.054,0.0582,90.024,0.106,71,204852
75,Karma,Midnights (The Til Dawn Edition),5/26/2023,2023,11,0.0782,0.647,0.614,0,0.611,-7.091,0.0651,90.034,0.0956,66,204852
174,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4/9/2021,2021,24,0.225,0.588,0.608,0,0.092,-7.062,0.0365,90.201,0.508,67,189495
377,Out Of The Woods,1989,10/27/2014,2014,4,0.00103,0.552,0.842,1.17E-05,0.337,-6.938,0.0373,91.991,0.343,58,235800
25,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,4,0.000512,0.547,0.885,9.37E-05,0.39,-5.961,0.0418,91.992,0.192,78,235800
335,Out Of The Woods,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,27,0.000743,0.553,0.841,1.19E-05,0.341,-6.937,0.0396,92.008,0.338,35,235800
358,Out Of The Woods,1989 (Deluxe Edition),10/27/2014,2014,4,0.000743,0.553,0.841,1.19E-05,0.341,-6.937,0.0396,92.008,0.338,53,235800
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,4,0.000537,0.545,0.885,5.59E-05,0.385,-5.968,0.0447,92.021,0.206,67,235800
301,Gorgeous,reputation,11/10/2017,2017,8,0.0713,0.8,0.535,9.48E-06,0.213,-6.684,0.135,92.027,0.451,80,209680
485,White Horse,Fearless Platinum Edition,11/11/2008,2008,11,0.302,0.585,0.346,0,0.102,-8.014,0.0256,92.564,0.195,42,234440
351,White Horse,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,43,0.314,0.578,0.348,0,0.1,-8.066,0.0257,92.673,0.218,31,235400
498,White Horse,Fearless,11/11/2008,2008,5,0.305,0.578,0.34,0,0.104,-8.027,0.0264,92.702,0.223,51,234426
276,I Forgot That You Existed,Lover,8/23/2019,2019,1,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,0.541,74,170640
150,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,2021,30,0.274,0.631,0.518,0,0.088,-8.771,0.0303,93.023,0.205,84,613026
391,All Too Well,Red (Deluxe Edition),10/22/2012,2012,5,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,56,327893
413,All Too Well,Red,10/22/2012,2012,5,0.0382,0.602,0.609,0.0002,0.127,-7.803,0.0243,93.06,0.337,44,327893
309,All Too Well,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,1,0.0448,0.602,0.605,0.000334,0.128,-7.803,0.0244,93.061,0.316,38,329160
238,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,13,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,53,274880
221,epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,13,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,47,289746
255,epiphany,folklore (deluxe version),8/18/2020,2020,13,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,66,289746
130,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),11/12/2021,2021,10,0.0399,0.502,0.534,0,0.0977,-5.954,0.0278,94.05,0.155,70,299080
396,The Last Time,Red (Deluxe Edition),10/22/2012,2012,10,0.035,0.505,0.443,3.15E-06,0.0921,-7.039,0.0276,94.069,0.123,44,298293
418,The Last Time,Red,10/22/2012,2012,10,0.035,0.505,0.443,3.15E-06,0.0921,-7.039,0.0276,94.069,0.123,37,298293
285,Death By A Thousand Cuts,Lover,8/23/2019,2019,10,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,75,198533
272,epiphany,folklore,7/24/2020,2020,13,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,67,289749
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,3,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,0.305,68,231000
308,New Year’s Day,reputation,11/10/2017,2017,15,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,74,235466
266,seven,folklore,7/24/2020,2020,7,0.9,0.596,0.488,2.70E-05,0.091,-10.769,0.0274,94.926,0.415,74,208906
357,Style,1989 (Deluxe Edition),10/27/2014,2014,3,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,57,231000
215,seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,7,0.888,0.602,0.494,2.59E-05,0.0902,-10.813,0.0277,94.955,0.374,49,208906
249,seven,folklore (deluxe version),8/18/2020,2020,7,0.888,0.602,0.494,2.59E-05,0.0902,-10.813,0.0277,94.955,0.374,69,208906
232,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,7,0.914,0.694,0.449,0.000126,0.1,-11.49,0.0301,94.963,0.363,55,208986
24,Style (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,3,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,0.292,83,231000
376,Style,1989,10/27/2014,2014,3,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,0.456,72,231000
298,Delicate,reputation,11/10/2017,2017,5,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,84,232253
322,Fifteen,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,14,0.0717,0.55,0.628,0,0.138,-4.437,0.0269,95.122,0.211,32,295320
152,Fifteen (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,2,0.116,0.559,0.646,0,0.32,-4.61,0.0272,95.466,0.289,70,294419
482,Fifteen,Fearless Platinum Edition,11/11/2008,2008,8,0.0728,0.559,0.636,0,0.144,-4.4,0.0263,95.485,0.214,42,294346
495,Fifteen,Fearless,11/11/2008,2008,2,0.067,0.556,0.651,0,0.145,-4.396,0.0266,95.485,0.203,55,294333
239,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,14,0.841,0.538,0.316,0,0.119,-9.5,0.0299,95.68,0.518,55,290040
273,betty,folklore,7/24/2020,2020,14,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0.502,75,294521
222,betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,14,0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,0.476,49,294520
256,betty,folklore (deluxe version),8/18/2020,2020,14,0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,0.476,68,294520
356,Blank Space,1989 (Deluxe Edition),10/27/2014,2014,2,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,0.57,54,231826
163,Change (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,13,0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,0.344,63,279359
527,Invisible,Taylor Swift,10/24/2006,2006,13,0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,55,203226
340,Invisible,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,32,0.56,0.609,0.383,0,0.165,-5.732,0.0243,96.005,0.224,31,205853
333,Change,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,25,0.00418,0.543,0.763,0,0.111,-4.206,0.0376,96.006,0.234,29,281053
375,Blank Space,1989,10/27/2014,2014,2,0.085,0.753,0.678,1.64E-06,0.13,-5.421,0.0644,96.006,0.583,74,231826
78,The Great War,Midnights (The Til Dawn Edition),5/26/2023,2023,14,0.203,0.573,0.737,2.78E-05,0.0851,-9.002,0.0352,96.009,0.592,65,240355
23,Blank Space (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,2,0.0976,0.737,0.725,0,0.174,-5.417,0.0641,96.012,0.755,81,231833
506,Change,Fearless,11/11/2008,2008,13,0.00408,0.541,0.77,0,0.117,-4.17,0.0354,96.013,0.215,39,280240
101,The Great War,Midnights (3am Edition),10/22/2022,2022,14,0.219,0.573,0.741,2.23E-05,0.0842,-8.987,0.0353,96.016,0.554,72,240355
493,Change,Fearless Platinum Edition,11/11/2008,2008,19,0.00471,0.548,0.756,0,0.117,-4.175,0.036,96.038,0.224,38,281053
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,2,0.0885,0.733,0.733,0,0.168,-5.376,0.067,96.057,0.701,67,231833
189,marjorie,evermore (deluxe version),1/7/2021,2021,13,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,67,257773
206,marjorie,evermore,12/11/2020,2020,13,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,73,257773
508,Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,6/28/2008,2008,2,0.814,0.623,0.266,0,0.145,-5.894,0.026,96.601,0.467,38,198247
